Tecnologia;Nombre_Equipo;Cod_SCL;Prepago_Con_Iva;Contado_Con_IVA;Cuotas_3_Con_Iva;Cuotas_6_Con_Iva;Cuotas_12_Con_Iva;Cuotas_24_Con_Iva;;;;;;;;;;;;;
2G;Alcatel  OT-799A                 ;939;186900;150900;150900;150900;150900;ND;;;;;;;;;;;;;
2G;Alcatel 1011;1195;76900;40900;ND;ND;ND;ND;;;;;;;;;;;;;
2G;Alcatel 1030;1136;82900;46900;ND;ND;ND;ND;;;;;;;;;;;;;
2G;Alcatel 208 Gris;877;77900;41900;ND;ND;ND;ND;;;;;;;;;;;;;
2G;Alcatel 3001;1196;97900;61900;61900;61900;ND;ND;;;;;;;;;;;;;
2G;Alcatel OT 292;1040;45900;9900;ND;ND;ND;ND;;;;;;;;;;;;;
2G;Alcatel OT 355A Negro;980;127900;91900;91900;91900;ND;ND;;;;;;;;;;;;;
2G;Alcatel OT 355A Rojo;876;127900;91900;91900;91900;ND;ND;;;;;;;;;;;;;
2G;Alcatel OT-222A Metallic Pink;797;102900;66900;66900;66900;ND;ND;;;;;;;;;;;;;
2G;Alcatel OT-222A Rojo ;750;102900;66900;66900;66900;ND;ND;;;;;;;;;;;;;
2G;Alcatel OT-223A;926;96900;60900;60900;60900;ND;ND;;;;;;;;;;;;;
2G;Alcatel OT-255A Gris;812;117900;81900;81900;81900;ND;ND;;;;;;;;;;;;;
2G;Alcatel OT-308;1067;81900;45900;ND;ND;ND;ND;;;;;;;;;;;;;
2G;Alcatel OT-358;1066;45900;9900;ND;ND;ND;ND;;;;;;;;;;;;;
2G;Alcatel OT-358 White;1100;45900;9900;ND;ND;ND;ND;;;;;;;;;;;;;
2G;Alcatel OT-508A Plata;799;71900;35900;ND;ND;ND;ND;;;;;;;;;;;;;
2G;Alcatel OT-602;1054;45900;9900;ND;ND;ND;ND;;;;;;;;;;;;;
2G;Bases Fijas Avvio;677;ND;189900;189900;189900;189900;ND;;;;;;;;;;;;;
2G;BlackBerry 8520 Curve;714;396900;360900;360900;360900;360900;364900;;;;;;;;;;;;;
2G;BlackBerry 8520 Curve Blanca;792;396900;360900;360900;360900;360900;364900;;;;;;;;;;;;;
2G;Celufijo Huawei F317;1734;ND;94900;97900;100900;ND;ND;;;;;;;;;;;;;
2G;GPS Tracker Queclink GL200;1174;ND;209900;215900;221900;234900;ND;;;;;;;;;;;;;
2G;GPS Tracker Queclink GMT 100;1173;ND;242900;249900;256900;271900;ND;;;;;;;;;;;;;
2G;Huawei 2800S;1039;72900;36900;ND;ND;ND;ND;;;;;;;;;;;;;
2G;Huawei G2100(FM);871;84900;48900;ND;ND;ND;ND;;;;;;;;;;;;;
2G;Huawei G2157;802;79900;43900;ND;ND;ND;ND;;;;;;;;;;;;;
2G;Huawei G2200C                  ;760;81900;45900;ND;ND;ND;ND;;;;;;;;;;;;;
2G;Huawei G6007;1139;100900;64900;64900;64900;ND;ND;;;;;;;;;;;;;
2G;Huawei G7010;866;182900;146900;146900;146900;146900;ND;;;;;;;;;;;;;
2G;LG A235 Brava;993;142900;106900;106900;106900;106900;ND;;;;;;;;;;;;;
2G;LG Chatter Barra C105;896;225900;189900;189900;189900;189900;ND;;;;;;;;;;;;;
2G;LG GS 106 Anna;897;103900;67900;67900;67900;ND;ND;;;;;;;;;;;;;
2G;LG GT360 Chatter;700;314900;278900;278900;278900;278900;ND;;;;;;;;;;;;;
2G;LG KP109;702;101900;65900;65900;65900;ND;ND;;;;;;;;;;;;;
2G;LG KP570 Cookie  Gris;791;360900;324900;324900;324900;324900;350900;;;;;;;;;;;;;
2G;LG T300 Cookie Mini Negro/Gris;850;257900;221900;221900;221900;221900;ND;;;;;;;;;;;;;
2G;LG T310 Cookie  Style Negro;833;338900;302900;302900;302900;302900;326900;;;;;;;;;;;;;
2G;LG T310 Cookie Style Gris;852;338900;302900;302900;302900;302900;326900;;;;;;;;;;;;;
